ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,random,group,"Welcome, and thank you for participating!   For this study, you will be shown 10 pictures of anim...",What is your gender?,What is your age?,Do you hold a Bachelors or higher college degree?,77259789 54a97508 2c60 4295 8283 70a11748c541, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",M, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Bilby, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Wombatbat, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 1383 1427218286 26, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 20524 1427229682 12, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Haggis+are+animals+but+are+very+rare+in+scotland+and+ 441b7ca65f411893fc6f8790270b6aea, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Hqdefault, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",F5b2016710e6d75886d8fe92bf6c3b23, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",3344064508 6dfe6e195c b, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Were the statistics that you were shown during this study helpful in identifying the various anim...,Thank you for participating!   The experiment you just participated in is not actually about iden...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_3n7rlg7HGDQYBto,Default Response Set,Anonymous,,,170.213.18.115,0,2015-08-03 10:08:41,2015-08-03 10:10:14,1,a96007db3eb1266b536252504bb146e5,control,1,Male,26,Yes,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,salamander,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,I did not see any statistics,1,32.710998535156,-117.05349731445,-1,
R_2cvWu9kpXyeo5SQ,Default Response Set,Anonymous,,,209.63.76.34,0,2015-08-03 10:06:40,2015-08-03 10:12:18,1,075551ce0f5f368df50a5d3936685d03,control,1,Female,30,No,1,1,I don't know,1,1,jackelope,1,1,lemur,1,1,I don't know,1,1,"I don't know, but it's cute",1,1,salamander,1,1,I don't know,1,1,I don't know,1,1,I don't know - looks like 'nessie' / cgi,1,1,I don't know,I did not see any statistics,1,47.606201171875,-122.33209991455,-1,
R_3qfo7gR7e2nYsP8,Default Response Set,Anonymous,,,68.57.5.46,0,2015-08-03 10:11:57,2015-08-03 10:16:11,1,139413cc87922f07aa11da1169e4007f,control,1,Male,24,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Chinese Sun Bear,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,35.423904418945,-84.668098449707,-1,
R_6i08h3TP6vGKU8R,Default Response Set,Anonymous,,,170.97.67.112,0,2015-08-03 10:13:38,2015-08-03 10:16:43,1,00bd063a6d5ed79fa7c579381cb1f015,control,1,Male,30,Yes,1,1,I don't know,1,1,I don't know,1,1,chincilla,1,1,I don't know,1,1,newt,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,38.893295288086,-77.014602661133,-1,
R_3JatiDoWubT87iM,Default Response Set,Anonymous,,,71.56.144.208,0,2015-08-03 10:13:38,2015-08-03 10:17:41,1,194dacad49a11476d84569ddb22bf0e7,control,1,Male,30,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Wombat,1,1,Newt,1,1,I don't know,1,1,I don't know,1,1,Bear,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,45.522201538086,-122.85929870605,-1,
R_2wAhK27H9USdJqE,Default Response Set,Anonymous,,,216.167.129.76,0,2015-08-03 10:21:29,2015-08-03 10:23:19,1,899ac68d5d1d11a4b8d5f2d4fc2cab25,control,1,Female,26,Yes,1,1,I don't know,1,1,kangaroo rat,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,hairless bear,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.590301513672,-101.85189819336,-1,
R_3n7buCqUMiiU1wB,Default Response Set,Anonymous,,,67.2.65.241,0,2015-08-03 10:31:08,2015-08-03 10:33:06,1,dd92d4247db5f30cbe8727b2c4ab21af,control,1,Female,34,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,40.559799194336,-111.96649932861,-1,
R_1jwYVXU5puNP1ID,Default Response Set,Anonymous,,,50.170.224.239,0,2015-08-03 10:32:32,2015-08-03 10:34:47,1,eb8dd377777100cb06c856e6cbdef13f,control,1,Male,27,No,1,1,Deer,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,Bear,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,39.866302490234,-105.00610351562,-1,
R_RylmDgDRoPXku2t,Default Response Set,Anonymous,,,50.182.53.0,0,2015-08-03 10:37:58,2015-08-03 10:39:25,1,86ae306d6acb846b87921a52d5056340,control,1,Female,25,Yes,1,1,I don't know.,1,1,Chinchilla,1,1,I don't know.,1,1,tasmanian devil,1,1,I don't know.,1,1,salamander,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,39.824005126953,-75.131797790527,-1,
R_0Mw3ZSXUUv673gx,Default Response Set,Anonymous,,,72.250.240.100,0,2015-08-03 10:19:27,2015-08-03 10:39:39,1,bbce0bd731ea2e3b5d0dfba63cbd2f46,control,1,Male,44,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,salamander,1,1,I don't know,1,1,I don't know.,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,35.589996337891,-82.558097839355,-1,
R_1geaX6WTDqcCYPu,Default Response Set,Anonymous,,,66.87.130.123,0,2015-08-03 10:36:23,2015-08-03 10:39:55,1,bb1a6baefd0ee73d0fda3ccfaae333e9,control,1,Female,55,No,1,1,I don't know ,1,1,I don't know ,1,1,Wambat,1,1,I don't know ,1,1,I don't know ,1,1,Salamader,1,1,I dont know,1,1,I really don't know ,1,1,I don't know,1,1,I don't know ,I did not see any statistics,1,34.039001464844,-117.75479888916,-1,
R_2BkXhYzrBFx5UHm,Default Response Set,Anonymous,,,198.185.163.129,0,2015-08-03 10:39:04,2015-08-03 10:40:31,1,34de3f0ad89da8c1a03e47c13a6bfffc,control,1,Male,31,Yes,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,axolotl,1,1,axolotl,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,40.766204833984,-73.986198425293,-1,
R_1GKxZnDCHyZ5GPn,Default Response Set,Anonymous,,,66.87.131.43,0,2015-08-03 10:37:20,2015-08-03 10:41:53,1,db78b6126bcee166ed0aefb6b18492bf,control,1,Female,49,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.875503540039,-117.99349975586,-1,
R_27lNgS0f2lapLyz,Default Response Set,Anonymous,,,72.22.126.30,0,2015-08-03 10:46:25,2015-08-03 10:48:23,1,467d82cf591fe886f6d9721a77976d27,control,1,Female,34,No,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,36.784698486328,-86.211898803711,-1,
R_UASN4qo8MIJpkXv,Default Response Set,Anonymous,,,54.148.44.119,0,2015-08-03 10:51:32,2015-08-03 10:53:05,1,be40ee216993aa41cb642484fb70dfa5,control,1,Female,23,No,1,1,Ilama,1,1,I don't know,1,1,Possum?,1,1,Possum,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,I don't know,I did not see any statistics,1,45.839904785156,-119.70059967041,-1,
R_2dp4IxFiygNvnsr,Default Response Set,Anonymous,,,128.32.226.119,0,2015-08-03 10:51:22,2015-08-03 10:53:22,1,892e80e8b168bb1bd8d758d2f14879da,control,1,Female,60,Yes,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,I did not see any statistics,1,37.866806030273,-122.25360107422,-1,
R_3q9Aeg5LN1I28Q9,Default Response Set,Anonymous,,,198.245.254.124,0,2015-08-03 10:50:04,2015-08-03 10:53:32,1,413866631ed676c65fd9e2b79b93ff2e,control,1,Male,33,No,1,1,kudu,1,1,i don't know,1,1,I don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,I don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,I did not see any statistics,1,33.493499755859,-86.80460357666,-1,
R_rcqlXO7qTwFzbbP,Default Response Set,Anonymous,,,108.23.91.207,0,2015-08-03 10:54:36,2015-08-03 10:58:18,1,a418a838e767939ec9f5c81db6d5cb76,control,1,Female,41,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know ,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,34.224899291992,-117.37609863281,-1,
R_5mUD1TOR1ts7ObD,Default Response Set,Anonymous,,,24.229.254.161,0,2015-08-03 10:58:38,2015-08-03 11:00:55,1,00e7844cba3a3aeca9a4fd002de8f7c5,control,1,Female,48,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,40.615203857422,-75.543701171875,-1,
R_2fPXNGWtvqnuQZH,Default Response Set,Anonymous,,,71.90.154.170,0,2015-08-03 11:00:58,2015-08-03 11:03:00,1,a2f258576643a55d919a0c155aa081b6,control,1,Male,23,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Lamprey,1,1,I don't know,1,1,I don't know,1,1,Bear,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,43.444107055664,-84.025497436523,-1,
R_SDJjCfHrkXx6vw5,Default Response Set,Anonymous,,,75.162.127.207,0,2015-08-03 11:12:29,2015-08-03 11:16:34,1,1e055ce5cdf8dcbbb0d6bbb16f5e0669,control,1,Female,42,Yes,1,1,dwarf deer,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,40.657592773438,-111.88400268555,-1,
R_1K8Cv2KknpJJqvf,Default Response Set,Anonymous,,,104.220.5.105,0,2015-08-03 11:15:02,2015-08-03 11:18:11,1,ad589491d1ca287429123a37366cf021,control,1,Male,37,No,1,1,Kudu,1,1,Kangaroo rat. ,1,1,Aardvark ,1,1,Fruit bat,1,1,Salamander,1,1,Salamander ,1,1,I don't know,1,1,I don't know,1,1,Penis fish,1,1,I don't know,I did not see any statistics,1,38.762496948242,-121.1649017334,-1,
R_1Fu33exSLREJikR,Default Response Set,Anonymous,,,173.71.142.207,0,2015-08-03 11:34:33,2015-08-03 11:37:24,1,13498b0c743f1acb6175fc2318ce87fd,control,1,Female,44,No,1,1,I don't know,1,1,I don't know,1,1,opposum,1,1,wombat,1,1,I don't know,1,1,I don't know,1,1,skunk,1,1,I don't know,1,1,electric eel,1,1,I don't know,I did not see any statistics,1,37.152603149414,-76.545997619629,-1,
R_YW8PH731viURNvz,Default Response Set,Anonymous,,,69.68.38.246,0,2015-08-03 11:40:15,2015-08-03 11:45:14,1,325586b67df5c3e0b92bc5e63fb305f2,control,1,Female,25,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Gila Monster?,1,1,I don't know :(,1,1,I don't know,1,1,Black Bear (shaven),1,1,I don't know,1,1,Blue Mollusk,I did not see any statistics,1,40.938598632812,-82.115600585938,-1,
R_3311a52YQNVFRWh,Default Response Set,Anonymous,,,66.210.55.170,0,2015-08-03 11:33:30,2015-08-03 11:46:13,1,f8d249daed16f08421beefb3cffba46e,control,1,Female,45,Yes,1,1,I don't know,1,1,kangaroo rat,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.571701049805,-117.72889709473,-1,
R_3KTpSrNQiZNlV1H,Default Response Set,Anonymous,,,216.115.226.51,0,2015-08-03 12:06:17,2015-08-03 12:10:40,1,340c3293f805cb2dc1c11233490b7f08,control,1,Female,72,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.610305786133,-117.72529602051,-1,
R_3LYo2g8K4dMbogj,Default Response Set,Anonymous,,,54.148.44.119,0,2015-08-03 12:17:05,2015-08-03 12:31:07,1,8abad79d9b20ad0c85209fd5503e5857,control,1,Female,25,Yes,1,1,bongos,1,1,Jerboas,1,1,bilby,1,1,I don't know,1,1,salamander,1,1,axolotl,1,1,Bucky,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,45.839904785156,-119.70059967041,-1,
R_3qkydGUuhVVkWO5,Default Response Set,Anonymous,,,107.5.93.50,0,2015-08-03 12:38:16,2015-08-03 12:43:04,1,cd86371555df5182795f8afbd5210cd1,control,1,Male,26,No,1,1,I don't know.,1,1,Rabbit,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,42.643905639648,-83.050399780273,-1,
R_1mOFJZocDqdNbjw,Default Response Set,Anonymous,,,54.148.44.119,0,2015-08-03 12:47:32,2015-08-03 12:51:38,1,6e831f557facbde399f2011b49a5c802,control,1,Female,35,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,45.839904785156,-119.70059967041,-1,
R_1Q3oJ6sFf4VX7VX,Default Response Set,Anonymous,,,50.4.226.225,0,2015-08-03 12:50:39,2015-08-03 12:55:55,1,7547f3c19f2d8720aa4c01b713a8f91d,control,1,Male,29,No,1,1,I don't know,1,1,Gerbil,1,1,bandicoot,1,1,I don't know,1,1,I don't know,1,1,axotl,1,1,I don't know,1,1,Sun Bear with mange,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,39.921295166016,-83.033096313477,-1,
R_RmOgCJUekr91Mm5,Default Response Set,Anonymous,,,64.55.155.2,0,2015-08-03 13:18:49,2015-08-03 13:21:16,1,c6130198736e65a8a8c4969cc19e24d0,control,1,Female,31,Yes,1,1,tapir,1,1,kangaroo rat,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,nudibranch,I did not see any statistics,1,37.348602294922,-121.95100402832,-1,
R_1LjRgg42DVbM21s,Default Response Set,Anonymous,,,216.221.228.6,0,2015-08-03 13:31:03,2015-08-03 13:33:30,1,07b0c3931c2d1eb2a204248c37d8247e,control,1,Male,36,Yes,1,1,I dont know,1,1,hamster,1,1,i dont know,1,1,i dont know,1,1,i dont know,1,1,i dont know,1,1,i dont know,1,1,i dont know,1,1,i dont know,1,1,i dont know,I did not see any statistics,1,37.424896240234,-122.0074005127,-1,
R_eP3DzmX8KU2AsKJ,Default Response Set,Anonymous,,,67.1.117.171,0,2015-08-03 13:49:09,2015-08-03 13:55:45,1,bd2ee6e6b939bc5d10e63b41296c32de,control,1,Male,27,Yes,1,1,I don't know,1,1,Kangaroo rat,1,1,I don't know,1,1,I don't know,1,1,Salmander,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,32.221694946289,-110.92649841309,-1,
R_21cDMvxsrJugz45,Default Response Set,Anonymous,,,98.119.203.5,0,2015-08-03 14:06:48,2015-08-03 14:11:04,1,0b6189619d668ec403ce27720d3fb188,control,1,Female,62,Yes,1,1,Okapi,1,1,Kangaroo rat,1,1,I don't know ,1,1,Wombat,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,I don't know,1,1,I don't know ,1,1,I don't know ,I did not see any statistics,1,34.061401367188,-117.17340087891,-1,
R_3nq5zN0vEpMqPcE,Default Response Set,Anonymous,,,73.27.229.85,0,2015-08-03 14:15:34,2015-08-03 14:18:28,1,e2dc2880e5644dc9189b11ef0649d20c,control,1,Female,22,No,1,1,I don't know,1,1,Wallaby,1,1,I don't know,1,1,tasmanian devil,1,1,I don't know,1,1,I don't know,1,1,honey badger,1,1,Black Bear,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,26.985595703125,-82.091003417969,-1,
R_1pN0rH2YlT5ZlYP,Default Response Set,Anonymous,,,73.12.253.35,0,2015-08-03 09:48:25,2015-08-03 14:23:06,1,3f116de46a36444507450ccc4cf99233,control,1,Male,42,Yes,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,39.744201660156,-121.83889770508,-1,
R_eJST2Z45LHTYNh3,Default Response Set,Anonymous,,,108.88.184.128,0,2015-08-03 14:33:44,2015-08-03 14:40:51,1,47bbe837ba568f1b198f3ab279dcbfc7,control,1,Male,29,Yes,1,1,Antelope,1,1,I don't know,1,1,I don't know,1,1,wombat,1,1,I don't know,1,1,Salamander,1,1,I don't know,1,1,bear,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.856002807617,-84.212898254395,-1,
R_3fB2rtvJIp7ARTX,Default Response Set,Anonymous,,,205.214.238.2,0,2015-08-03 14:52:59,2015-08-03 15:05:42,1,1c33d7225ab0aa084c222cc04c62c8bf,control,1,Female,36,Yes,1,1,i don't know...this shit is hard,1,1,i don't know :(,1,1,Wallaby,1,1,i dont know,1,1,i don't know,1,1,somne sort of salamander?,1,1,the tina turner skunk,1,1,i don't know...oh come on!,1,1,i don't know,1,1,i don't know,I did not see any statistics,1,33.994995117188,-118.39170074463,-1,
R_3Ork1f9aZ2EGwUI,Default Response Set,Anonymous,,,76.27.72.42,0,2015-08-03 15:12:08,2015-08-03 15:14:02,1,6d6b8321613000070323be016dfe66cb,control,1,Female,32,No,1,1,Llama,1,1,Rabbit,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,40.759796142578,-111.86260223389,-1,
R_1KxSNWkCE4WAenT,Default Response Set,Anonymous,,,174.126.244.49,0,2015-08-03 15:13:16,2015-08-03 15:15:22,1,0a2a3fb6d7b5244bd541a6e48dc59c90,control,1,Female,50,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,34.492599487305,-97.85230255127,-1,
R_1LXOORplSTYfoVg,Default Response Set,Anonymous,,,75.173.41.57,0,2015-08-03 15:18:33,2015-08-03 15:20:25,1,40b88bb909249d54fe1a4ab0b3f98dbe,control,1,Male,35,No,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,bear,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,34.989303588867,-106.62750244141,-1,
R_2cdvcEezVfzn7NG,Default Response Set,Anonymous,,,159.83.159.31,0,2015-08-03 15:11:42,2015-08-03 15:20:31,1,1c8c0f4c5895cfb7511b8f2a25d62689,control,1,Female,49,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,wombat,1,1,I don't know,1,1,Mexican walking fish,1,1,some kind of rodent,1,1,I don't know,1,1,eel,1,1,I don't know,I did not see any statistics,1,34.080307006836,-118.20809936523,-1,
R_aXl9ebLPkgSuaBP,Default Response Set,Anonymous,,,68.39.167.122,0,2015-08-03 15:18:34,2015-08-03 15:22:58,1,6741c7e490725b7c3715027e0e1a38fd,control,1,Male,25,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,bat groundhog mash up,1,1,axolot,1,1,axolotl,1,1,I don't know,1,1,hairless bear,1,1,I don't know,1,1,sea slug,I did not see any statistics,1,40.763107299805,-86.091796875,-1,
R_3ef2CKseVACKqBk,Default Response Set,Anonymous,,,142.197.199.3,0,2015-08-03 15:43:36,2015-08-03 15:46:54,1,12b8a37daf90f08956fa4bd5be9a2219,control,1,Male,23,No,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,29.056304931641,-82.025703430176,-1,
R_1LkGvu8I34YmpYE,Default Response Set,Anonymous,,,69.24.174.238,0,2015-08-03 15:55:16,2015-08-03 15:57:33,1,5edb03d44a021675cdaea53782cb3356,control,1,Male,43,Yes,1,1,I don't know.,1,1,kangaroo rat,1,1,wombat,1,1,I don't know.,1,1,I don't know.,1,1,salamander,1,1,I don't know.,1,1,I don't know.,1,1,moray eel,1,1,i don't know,I did not see any statistics,1,44.130798339844,-94,-1,
R_2tu0DjN4OPDKYp4,Default Response Set,Anonymous,,,70.211.8.239,0,2015-08-03 15:58:42,2015-08-03 16:01:20,1,ca827406aa1858a9196815c59374d12b,control,1,Female,39,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Fish,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.200393676758,-117.29069519043,-1,
R_bqhXmBcL2vQWzWp,Default Response Set,Anonymous,,,166.176.185.153,0,2015-08-03 15:59:18,2015-08-03 16:01:51,1,86be9aabf7e96808e76e89b3c9b111a0,control,1,Male,40,Yes,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,45.523406982422,-122.6762008667,-1,
R_3j3t5yc22sDo2dP,Default Response Set,Anonymous,,,104.53.225.13,0,2015-08-03 16:02:01,2015-08-03 16:05:39,1,40d522eb600e9a03fd059a30f657d1ac,control,1,Male,48,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,36.347900390625,-86.60050201416,-1,
R_3nV00dz03uHVFDj,Default Response Set,Anonymous,,,72.87.183.61,0,2015-08-03 16:27:29,2015-08-03 16:31:23,1,3290d4cd090960e58ade43308274b5b1,control,1,Male,64,No,1,1,D,1,1,Dont know,1,1,Dont know,1,1,Wombat,1,1,D,1,1,D,1,1,D,1,1,D,1,1,D,1,1,D,I did not see any statistics,1,33.840301513672,-118.35389709473,-1,
R_3HjHvJyEwZMhuga,Default Response Set,Anonymous,,,98.19.41.128,0,2015-08-03 16:43:12,2015-08-03 16:47:41,1,5fabf8147e2e49d84db83dabc006ac47,control,1,Male,34,No,1,1,I don't know,1,1,kangaroo rat,1,1,I don't know,1,1,I don't know,1,1,eel,1,1,salamander,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,40.817596435547,-96.711402893066,-1,
R_1DvcqVQ9co3RKhH,Default Response Set,Anonymous,,,74.7.165.189,0,2015-08-03 17:16:05,2015-08-03 17:21:55,1,572e0aef1b448de4220a1adc026df8f4,control,1,Female,50,No,1,1,i don't know,1,1,kangaroo rat,1,1,shrew,1,1,wombat,1,1,axolotl,1,1,axolotl,1,1,i don't know,1,1,sun bear,1,1,i don't know,1,1,i don't know,I did not see any statistics,1,41.972793579102,-87.661598205566,-1,
R_79xmW8eTpuzZBXr,Default Response Set,Anonymous,,,69.124.9.157,0,2015-08-03 17:41:52,2015-08-03 17:43:54,1,b0a146d88d51347c3ce9b3645a7113ac,control,1,Male,33,Yes,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,40.840805053711,-73.039497375488,-1,
R_2e4MJsVcUIWtPn7,Default Response Set,Anonymous,,,107.204.206.46,0,2015-08-03 18:09:30,2015-08-03 18:11:50,1,8c4970bf409c23f31d01bd18c3fdd1a2,control,1,Female,35,No,1,1,antelope,1,1,i dont know,1,1,i dont know,1,1,i dont know,1,1,i dont know,1,1,i dont know,1,1,i dont know,1,1,i dont know,1,1,i dont know,1,1,i dont know,I did not see any statistics,1,33.679306030273,-117.90550231934,-1,
R_2wtubkzEB7RMkxE,Default Response Set,Anonymous,,,75.33.33.62,0,2015-08-03 18:16:27,2015-08-03 18:18:57,1,dd2c73fe7529bfe54acd1f82e57e4631,control,1,Female,43,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,41.497299194336,-81.471397399902,-1,
R_1UnWeyQ6QgjQD4t,Default Response Set,Anonymous,,,76.173.237.178,0,2015-08-03 18:45:57,2015-08-03 18:49:53,1,1611948a7a9b41c1302241b88aa138cd,control,1,Male,34,Yes,1,1,I don't know.,1,1,Mouse,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,Eel ,1,1,I don't know.,I did not see any statistics,1,21.362899780273,-157.87269592285,-1,
R_24IeQhe73QpouJj,Default Response Set,Anonymous,,,71.237.3.38,0,2015-08-03 20:48:20,2015-08-03 20:49:44,1,96e99bc9f6b1083f47bc640fd00b7d86,control,1,Female,30,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,39.731292724609,-104.96920013428,-1,
R_1o0kzxN8QXmhP2f,Default Response Set,Anonymous,,,71.51.2.217,0,2015-08-03 21:04:17,2015-08-03 21:05:53,1,8ac920861c40fd019c77bd93b9761b74,control,1,Female,31,Yes,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,37.835098266602,-78.281196594238,-1,
R_2V1LRt2LkL5PNPv,Default Response Set,Anonymous,,,172.112.7.145,0,2015-08-03 21:20:21,2015-08-03 21:24:16,1,2dd3617844ebf5c4e457332a13c58d34,control,1,Female,38,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't knoe,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,34.302093505859,-118.72079467773,-1,
